,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
493,54.15831996793379,24.25223015963357,22.289497973721435,19.392598554445595,17.649919773012062,13.302877346448485,11.7806366676701,9.825184013316681,10.574222442777044,12.38781690089992
494,54.300415462954504,24.228213045936126,22.430357196065245,19.215106709230266,17.00464055106593,12.832327579874596,11.769830312846807,10.11480255743858,10.414366193809943,12.528226198137656
495,54.38430445321266,24.34499662401492,22.386308224985743,19.33689020439719,17.441776388161806,14.490645496247362,11.898307962991794,10.095634060848335,10.694205330849314,12.655989654734165
496,55.06752142162964,24.29789473834783,22.5051392427575,19.617454639306374,17.252579944961507,13.392389929564859,11.876091269664732,9.779157498751557,10.524988631757521,12.480907732254185
497,55.349955331086974,24.414173612481676,22.623218878653443,19.57936659544939,17.844955835116362,13.976756206268197,11.70324665376767,9.909450383005035,10.355727714011273,12.759919477639674
498,55.4319127340241,24.53053079327837,22.90305257814754,19.70052881699921,17.81141379196004,14.255809410027634,11.68148360160336,10.634438007407008,10.932891660470831,12.736080896032039
499,55.37292678823433,24.342703626053204,22.880690506022823,19.522933923712042,18.263477731958936,13.177737610498138,11.8202986408365,10.475344334927966,10.624417097259043,12.572778384630535
500,55.17303183721904,24.342703626053204,22.55784302346701,19.681471807268494,18.10691236448481,13.632877400467548,11.370750231579997,9.881445205603931,10.624417097259043,12.572778384630535
501,55.45462040121136,24.458809480897095,22.836910066220074,19.64381570895317,18.385583801826385,13.002180890444139,11.49938600193977,9.863710709046655,10.456024038160537,12.248853922225402
502,55.19634617080865,24.434877858417956,22.653187593043793,19.62486249369758,18.680916658390288,13.74590329522222,11.488109072987571,10.743192569636532,10.297711997752392,12.387317185445221
503,54.88104784975701,24.387965503017377,22.77065802118997,19.745311084252982,18.177073057288084,14.02341608007858,12.06455895206971,10.871616018505891,10.279217251202263,12.6647020842457
504,55.021263425114746,24.364574281998387,22.748949271533643,19.726244119849856,18.315841393065607,14.01054339356588,12.053605412394448,10.269559054202915,10.7133113598352,12.203043951350745
505,54.96311961019993,24.503082042980576,22.566057491010785,19.550153748008853,18.610036289527027,12.941202990245463,11.743256783651958,10.555491011309101,10.40742607236476,12.49060161971102
506,55.24293608266782,24.29377396437047,22.52317137221695,19.512974939117633,18.73102453133187,13.669226980714642,12.16901786677618,10.53612371471249,10.683617732098734,12.617379370754218
507,55.58051159271888,24.270555466683142,22.501787122590212,19.49466698730565,18.40192047864516,12.605922884487276,12.157558294334057,9.937463164559603,10.231558186149925,12.905009479797116
508,55.719716430763036,24.085559386858538,22.639716017132887,19.632463037314704,18.38434226621632,12.743402573658228,12.14615263474528,9.928199717695525,10.516419465958077,12.892876473438674
509,55.99858939920286,24.200273910828813,22.596344419828,19.439075467564262,18.194784448178368,13.168307521204639,11.974911045048016,10.497188755961986,10.349977661128374,12.719861198808971
510,55.88048259612455,24.314733061154364,22.712390209678563,19.714207693650646,18.624668709179115,12.844891387359926,11.804508659769345,10.330693311452904,10.624266017229886,12.695999019448394
511,56.415597383917735,24.291603325566562,22.850115514860565,19.8518002644777,18.297630143091443,13.580168687955103,11.793892752249864,10.761436571914695,10.908668900715387,12.982167843415702
512,56.35660507989588,24.268515876783482,22.66947575279809,19.9892755582138,18.435035462486105,14.16726582484025,11.635309464740256,10.458526272463258,10.458526272463258,12.523734227038045
513,56.297148446810034,24.084578952652425,22.647608591530247,19.814277569953564,18.109157885687623,13.704903917742346,11.477179525882217,10.156352820463619,10.302712240529047,12.512440613163117
514,55.90202148406213,23.92433342252946,22.488903262680505,19.65857604377072,18.26323340122216,13.704903917742346,11.477179525882217,10.156352820463619,10.741812037841022,12.660748696277125
515,55.78462312284267,24.038542895891144,22.44614432071237,19.46587471699566,18.382939417994216,13.679222653194545,11.455810268614488,9.991581224664916,10.575764434587118,12.489074286926671
