,dateTime,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
190,2021-05-20 09:29:28,23.9417,24.8548,25.1255,25.5991,25.9036,26.2758,26.5803,26.7834,26.7834,26.648
191,2021-05-20 09:29:29,23.9417,24.821,25.1593,25.5991,25.9374,26.2419,26.5803,26.7834,26.8172,26.5465
192,2021-05-20 09:29:31,23.9417,24.8887,25.1593,25.5991,25.9712,26.2419,26.5803,26.7834,26.7834,26.6142
193,2021-05-20 09:29:32,23.9417,24.8548,25.0916,25.6329,25.9712,26.2758,26.5465,26.7834,26.8511,26.5127
194,2021-05-20 09:29:34,23.9079,24.8548,25.1593,25.6329,25.9712,26.2081,26.6142,26.7496,26.7834,26.5465
195,2021-05-20 09:29:36,23.9755,24.8548,25.1255,25.6329,25.9712,26.2758,26.5465,26.7834,26.8172,26.5803
196,2021-05-20 09:29:37,23.9755,24.821,25.1931,25.6329,25.9374,26.3435,26.5465,26.7834,26.8511,26.648
197,2021-05-20 09:29:39,23.9755,24.9225,25.1593,25.6667,25.9374,26.2758,26.5465,26.7834,26.8172,26.6142
198,2021-05-20 09:29:41,23.9755,24.8887,25.1255,25.6667,26.0728,26.4111,26.5127,26.8172,26.8511,26.7157
199,2021-05-20 09:29:42,23.9417,24.8887,25.2269,25.7006,26.0389,26.3435,26.5803,26.8172,26.8511,26.648
200,2021-05-20 09:29:44,23.9755,24.8887,25.1593,25.7344,26.1066,26.3096,26.5465,26.7834,26.8511,26.5803
201,2021-05-20 09:29:45,23.9417,24.9225,25.1931,25.7344,26.0389,26.3435,26.5465,26.7834,26.8849,26.6142
202,2021-05-20 09:29:47,24.0093,24.8887,25.1931,25.7682,26.1066,26.3773,26.648,26.7834,26.9188,26.5803
203,2021-05-20 09:29:49,24.0432,24.8887,25.2269,25.7344,26.0728,26.2758,26.6819,26.8511,26.9526,26.648
204,2021-05-20 09:29:50,23.9755,24.9225,25.1931,25.7682,26.1743,26.2758,26.6142,26.9188,26.9526,26.648
205,2021-05-20 09:29:52,24.0432,24.9225,25.2269,25.7682,26.1066,26.3435,26.6819,26.8849,26.9188,26.648
206,2021-05-20 09:29:54,24.0432,24.8887,25.2269,25.7682,26.1404,26.4111,26.6819,26.8511,26.8849,26.648
207,2021-05-20 09:29:55,24.0093,24.8887,25.2608,25.8021,26.1066,26.445,26.648,26.8511,26.9188,26.5803
