,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp
25,2003,2021-03-16 08:59:22,21.8796,27.9004,24.2799,19.8525,22.7922,26.0389,24.077,17.6242,22.826,25.3961,25.4637,24.9225,24.7196,23.1979,25.7006,26.1066,26.1066,25.8359,25.5991,982.13,101.532,0.37476223298335426,4.090290420985926,1.30171337890625,2.9172365560611326,0.002065087984398822,0.0008333333333333334
26,2004,2021-03-16 08:59:24,21.8796,27.9004,24.1784,19.8863,22.7922,26.0389,24.1108,17.6917,22.7584,25.4976,25.4637,24.9902,24.6857,23.1979,25.7682,26.0728,26.1066,25.5991,25.5991,989.216,105.477,0.39755177334919434,4.235299404321006,1.3013804931640625,2.8892782830100687,0.0022015832365927706,0.0005555555555555556
27,2006,2021-03-16 08:59:27,21.8458,27.9343,24.3137,19.8525,22.826,26.0728,24.1108,17.5904,22.7584,25.4637,25.4637,24.9902,24.7196,23.1979,25.7682,26.1066,26.1066,25.6329,25.5991,984.492,105.477,0.4016599901199724,4.100429086716635,1.3007701416015625,2.864352104730012,0.0024967884049202768,0.0008333333333333334
28,2008,2021-03-16 08:59:31,21.8458,28.002,24.5843,19.8188,22.7584,26.1066,24.077,17.5567,22.7246,25.4637,25.4976,24.9902,24.7872,23.1979,25.7344,26.1066,26.1404,25.7006,25.6329,986.854,107.056,0.41600696231757356,3.879925720246074,1.3060401611328125,2.9359837038509924,0.0028640030192906155,0.0011111111111111111
29,2010,2021-03-16 08:59:34,21.812,28.002,24.6519,19.8188,22.826,26.0728,24.0432,17.6242,22.657,25.5314,25.5314,24.9902,24.7872,23.2317,25.7682,26.1066,26.1404,25.9374,25.6329,982.13,106.266,0.4171026341082796,3.7851514433893434,1.3069072265625001,2.901984302300795,0.0030805358556445983,0.0008333333333333334
30,2012,2021-03-16 08:59:38,21.812,28.0697,24.821,19.8525,22.7246,26.0728,23.9755,17.5567,22.657,25.5314,25.5314,24.9902,24.8548,23.2317,25.7682,26.1066,26.1743,25.8021,25.6667,984.492,107.056,0.4202034479240394,3.679411082129368,1.30595947265625,2.9295727994281564,0.003475600101344516,0.0011111111111111111
31,2014,2021-03-16 08:59:41,21.812,28.1374,24.9563,19.785,22.7922,26.0728,24.077,17.5567,22.5894,25.5314,25.5314,24.9902,24.821,23.2317,25.7682,26.1404,26.2081,26.0051,25.7344,984.492,107.845,0.4317175324605585,3.602848706670895,1.30508056640625,2.9242927630460174,0.003680334522597167,0.0008333333333333334
32,2015,2021-03-16 08:59:43,21.7782,28.1374,24.8887,19.8188,22.826,26.1404,24.1108,17.4892,22.5894,25.5314,25.5314,24.9563,24.7872,23.2655,25.8021,26.1404,26.2081,25.9036,25.7006,984.492,107.056,0.4368758204357912,3.679580015859297,1.304624755859375,2.8926627552009947,0.003880268881284368,0.0005555555555555556
33,2017,2021-03-16 08:59:46,21.7782,28.1713,24.8548,19.785,22.8598,26.1404,23.9417,17.4892,22.5894,25.5652,25.5652,24.9902,24.821,23.2655,25.8021,26.1404,26.2419,25.9712,25.7682,986.854,108.634,0.4433153478293766,3.7653847475114186,1.3080595703125,2.892248244189704,0.004184590952746391,0.0008333333333333334
34,2019,2021-03-16 08:59:50,21.7782,28.239,24.6857,19.7512,22.7246,26.1404,24.1446,17.5567,22.5894,25.5314,25.5652,25.0578,24.8548,23.2317,25.8359,26.1404,26.2419,25.9712,25.7682,991.578,107.056,0.4368758204357912,4.0535469738310015,1.31129052734375,2.8997932587460564,0.004584459670120793,0.0011111111111111111
